iter	Passed	Remaining
406	3244	4727
407	3251	4718
408	3257	4706
409	3264	4698
410	3270	4686
411	3275	4674
412	3301	4692
413	3307	4681
414	3314	4672
415	3319	4660
416	3325	4648
417	3331	4639
418	3337	4628
419	3344	4618
420	3350	4607
421	3355	4595
422	3362	4586
423	3368	4575
424	3373	4564
425	3382	4557
426	3387	4545
427	3394	4536
428	3400	4525
429	3405	4514
430	3412	4505
431	3418	4494
432	3424	4483
433	3429	4473
434	3435	4461
435	3441	4451
436	3446	4440
437	3452	4429
438	3459	4420
439	3465	4411
440	3471	4399
441	3478	4391
442	3483	4379
443	3489	4370
444	3497	4362
445	3502	4351
446	3510	4343
447	3516	4333
448	3523	4323
449	3529	4314
450	3535	4303
451	3542	4294
452	3547	4283
453	3552	4272
454	3558	4262
455	3564	4252
456	3570	4241
457	3575	4231
458	3581	4220
459	3587	4210
460	3592	4200
461	3598	4190
462	3605	4181
463	3610	4170
464	3616	4160
465	3623	4152
466	3629	4141
467	3635	4132
468	3641	4122
469	3646	4111
470	3652	4102
471	3658	4092
472	3663	4082
473	3670	4073
474	3676	4063
475	3681	4052
476	3688	4044
477	3694	4034
478	3700	4024
479	3705	4014
480	3711	4004
481	3716	3994
482	3722	3984
483	3727	3973
484	3733	3964
485	3739	3954
486	3744	3944
487	3752	3936
488	3757	3926
489	3762	3916
490	3785	3924
491	3792	3915
492	3799	3907
493	3805	3897
494	3810	3887
495	3817	3879
496	3822	3868
497	3828	3859
498	3834	3849
499	3839	3839
500	3846	3830
501	3851	3821
502	3857	3811
503	3864	3803
504	3871	3794
505	3878	3786
506	3883	3776
507	3889	3766
508	3895	3757
509	3901	3748
510	3906	3738
511	3916	3732
512	3921	3722
513	3927	3713
514	3932	3703
515	3938	3694
516	3945	3685
517	3950	3676
518	3956	3666
519	3962	3657
520	3967	3647
521	3972	3637
522	3978	3628
523	3984	3619
524	3989	3609
525	3995	3600
526	4001	3591
527	4007	3582
528	4013	3573
529	4018	3563
530	4024	3554
531	4030	3545
532	4035	3535
533	4042	3527
534	4048	3518
535	4053	3508
536	4060	3501
537	4065	3491
538	4071	3482
539	4077	3473
540	4083	3464
541	4090	3456
542	4095	3447
543	4101	3437
544	4108	3430
545	4114	3420
546	4119	3411
547	4125	3403
548	4131	3393
549	4136	3384
550	4141	3375
551	4146	3365
552	4152	3356
553	4158	3348
554	4164	3339
555	4170	3330
556	4176	3321
557	4181	3312
558	4188	3304
559	4193	3295
560	4199	3286
561	4206	3278
562	4212	3270
563	4219	3261
564	4225	3253
565	4231	3244
566	4239	3237
567	4244	3228
568	4251	3220
569	4269	3220
570	4275	3212
571	4281	3203
572	4289	3196
573	4295	3188
574	4304	3181
575	4309	3172
576	4315	3163
577	4323	3156
578	4328	3147
579	4335	3139
580	4340	3130
581	4345	3121
582	4354	3114
583	4359	3105
584	4365	3096
585	4370	3087
586	4375	3078
587	4381	3070
588	4386	3061
589	4393	3052
590	4398	3044
591	4404	3035
592	4409	3026
593	4414	3017
594	4420	3008
595	4425	3000
596	4431	2991
597	4437	2982
598	4442	2974
599	4448	2965
600	4453	2956
601	4459	2948
602	4466	2940
603	4472	2932
604	4478	2923
605	4483	2915
606	4489	2906
607	4495	2898
608	4500	2889
609	4506	2881
610	4512	2872
611	4517	2864
612	4523	2855
613	4529	2847
614	4534	2838
615	4540	2830
616	4546	2822
617	4551	2813
618	4558	2805
619	4563	2797
620	4569	2789
621	4575	2780
622	4582	2773
623	4592	2767
624	4600	2760
625	4606	2751
626	4613	2744
627	4619	2736
628	4627	2729
629	4633	2721
630	4639	2712
631	4645	2705
632	4650	2696
633	4658	2689
634	4663	2680
635	4668	2671
636	4674	2664
637	4680	2655
638	4685	2647
639	4691	2638
640	4697	2631
641	4703	2622
642	4711	2615
643	4718	2608
644	4726	2601
645	4733	2593
646	4740	2586
647	4754	2582
648	4759	2574
649	4765	2565
650	4770	2557
651	4776	2549
652	4781	2541
653	4787	2532
654	4792	2524
655	4798	2516
656	4803	2507
657	4809	2499
658	4814	2491
659	4820	2483
660	4826	2475
661	4831	2466
662	4838	2459
663	4843	2451
664	4849	2442
665	4856	2435
666	4865	2428
667	4872	2421
668	4877	2413
669	4883	2405
670	4889	2397
671	4895	2389
672	4901	2381
673	4906	2373
674	4912	2365
675	4920	2358
676	4925	2349
677	4930	2341
678	4937	2334
679	4943	2326
680	4948	2318
681	4955	2310
682	4961	2302
683	4968	2295
684	4973	2286
685	4978	2278
686	4986	2271
687	4991	2263
688	4997	2255
689	5004	2248
690	5009	2240
691	5016	2232
692	5022	2224
693	5027	2216
694	5034	2209
695	5039	2201
696	5045	2193
697	5051	2185
698	5057	2177
699	5063	2170
700	5069	2162
701	5074	2154
702	5082	2147
703	5087	2139
704	5093	2131
705	5099	2123
706	5105	2115
707	5110	2107
708	5116	2100
709	5122	2092
710	5127	2084
711	5133	2076
712	5138	2068
713	5143	2060
714	5149	2052
715	5154	2044
716	5161	2037
717	5166	2029
718	5175	2022
719	5182	2015
720	5187	2007
721	5194	2000
722	5200	1992
723	5205	1984
724	5212	1977
725	5218	1969
726	5223	1961
727	5230	1954
728	5235	1946
729	5241	1938
730	5246	1930
731	5263	1927
732	5269	1919
733	5275	1911
734	5281	1904
735	5286	1896
736	5293	1888
737	5298	1881
738	5304	1873
739	5310	1866
740	5316	1858
741	5321	1850
742	5329	1843
743	5334	1835
744	5340	1827
745	5345	1820
746	5351	1812
747	5358	1805
748	5363	1797
749	5369	1789
750	5376	1782
751	5381	1774
752	5386	1766
753	5392	1759
754	5398	1751
755	5405	1744
756	5411	1736
757	5416	1729
758	5423	1721
759	5428	1714
760	5433	1706
761	5440	1699
762	5446	1691
763	5452	1684
764	5458	1676
765	5464	1669
766	5471	1662
767	5476	1654
768	5482	1646
769	5488	1639
770	5495	1632
771	5500	1624
772	5506	1617
773	5511	1609
774	5517	1601
775	5523	1594
776	5528	1586
777	5534	1579
778	5540	1571
779	5545	1564
780	5552	1557
781	5557	1549
782	5563	1541
783	5570	1534
784	5576	1527
785	5581	1519
786	5588	1512
787	5593	1504
788	5600	1497
789	5605	1490
790	5612	1482
791	5620	1476
792	5626	1468
793	5634	1461
794	5640	1454
795	5649	1447
796	5655	1440
797	5661	1433
798	5669	1426
799	5676	1419
800	5686	1412
801	5692	1405
802	5701	1398
803	5707	1391
804	5716	1384
805	5722	1377
806	5738	1372
807	5782	1373
808	5791	1367
809	5800	1360
810	5807	1353
811	5818	1347
812	5825	1339
813	5833	1332
814	5840	1325
815	5850	1319
816	5856	1311
817	5865	1304
818	5871	1297
819	5879	1290
820	5886	1283
821	5895	1276
822	5901	1269
823	5909	1262
824	5915	1254
825	5923	1247
826	5930	1240
827	5936	1233
828	5944	1226
829	5952	1219
830	5960	1212
831	5968	1205
832	5976	1198
833	5984	1191
834	5994	1184
835	6001	1177
836	6011	1170
837	6018	1163
838	6025	1156
839	6032	1149
840	6039	1141
841	6046	1134
842	6053	1127
843	6059	1120
844	6067	1112
845	6075	1105
846	6082	1098
847	6090	1091
848	6099	1084
849	6106	1077
850	6113	1070
851	6119	1062
852	6126	1055
853	6132	1048
854	6139	1041
855	6146	1034
856	6154	1026
857	6161	1019
858	6168	1012
859	6175	1005
860	6182	998
861	6190	991
862	6197	983
863	6206	976
864	6212	969
865	6235	964
866	6242	957
867	6247	950
868	6254	942
869	6261	935
870	6267	928
871	6274	920
872	6280	913
873	6287	906
874	6293	899
875	6300	891
876	6306	884
877	6314	877
878	6321	870
879	6327	862
880	6334	855
881	6341	848
882	6348	841
883	6354	833
884	6360	826
885	6367	819
886	6373	811
887	6380	804
888	6386	797
889	6392	790
890	6399	782
891	6406	775
892	6412	768
893	6419	761
894	6427	754
895	6433	746
896	6440	739
897	6446	732
898	6452	724
899	6458	717
900	6464	710
901	6471	703
902	6477	695
903	6484	688
904	6490	681
905	6497	674
906	6504	666
907	6510	659
908	6516	652
909	6523	645
910	6530	637
911	6536	630
912	6542	623
913	6549	616
914	6555	608
915	6562	601
916	6568	594
917	6575	587
918	6581	580
919	6587	572
920	6594	565
921	6601	558
922	6607	551
923	6614	544
924	6620	536
925	6627	529
926	6633	522
927	6640	515
928	6646	507
929	6653	500
930	6660	493
931	6666	486
932	6672	479
933	6679	472
934	6685	464
935	6692	457
936	6711	451
937	6717	444
938	6725	436
939	6731	429
940	6738	422
941	6748	415
942	6754	408
943	6761	401
944	6768	393
945	6776	386
946	6782	379
947	6789	372
948	6795	365
949	6802	358
950	6810	350
951	6816	343
952	6823	336
953	6829	329
954	6836	322
955	6842	314
956	6848	307
957	6856	300
958	6862	293
959	6868	286
960	6875	279
961	6881	271
962	6889	264
963	6895	257
964	6903	250
965	6909	243
966	6915	236
967	6923	228
968	6929	221
969	6937	214
970	6944	207
971	6951	200
972	6958	193
973	6965	185
974	6973	178
975	6980	171
976	6987	164
977	6994	157
978	7001	150
